hahatitle	price	link	page	comments_count	activity	capacity
五粮液52度 整箱特惠装 500ml*6瓶 内赠礼品袋3个	￥4379.00	http://item.jd.com/714875.html	page=1	已有6639人评价	3699元-铜牌及以上会员价！整箱装更实惠！原箱配送更省心！京东自营，厂家直供，喝的放心！迎中秋！五粮液特惠专场！	500ml
五粮液水晶装52度整箱套装500ml*6瓶	￥3649.00	http://item.jd.com/1030710.html	page=1	已有1754人评价	整箱装，更实惠！原箱配送更省心！京东自营，厂家直供，喝的放心！迎中秋！五粮液特惠专场！点击劲爆！	500ml
茅台 飞天53度整箱特惠装 500ml*6瓶	￥6954.00	http://item.jd.com/1150676.html	page=1	已有118人评价	【自营】加入购物车，合5449元茅台中秋专场	500ml
五粮液52度 500ML	￥659.00	http://item.jd.com/251813.html	page=1	已有16763人评价	628元-铜牌价！五粮液畅销核心单品！京东自营，喝的放心迎中秋！五粮液特惠专场！点击劲爆！	500ml
剑南春52度特惠整箱装500ml*6瓶	￥2159.00	http://item.jd.com/884953.html	page=1	已有1863人评价	直降至2159！中秋提前购，保真又实惠！囤货中···【京东自营，喝的放心】酒类超值专场请点击	500ml
五粮液1618 52度 整箱特惠装 500ml*6瓶 内赠礼品袋3个	￥3898.00	http://item.jd.com/714878.html	page=1	已有2742人评价	整箱装更实惠！原箱配送更省心！五粮液核心畅销单品！京东自营，喝的放心！迎中秋！五粮液特惠专场！	500ml
红花郎酒十年陈酿53度整箱装500ml*6瓶（箱内有礼品袋3只）	￥1499.00	http://item.jd.com/782957.html	page=1	已有2478人评价	【京东自营】京东首届郎酒节劲爆专场点击	500ml
五粮液68度 整箱特惠装 500ml*6瓶 内赠礼品袋3个	￥3594.00	http://item.jd.com/714881.html	page=1	已有883人评价	合599元每瓶！整箱装，更实惠！原箱配送更省心！京东自营，喝的放心！迎中秋！五粮液特惠专场！点击劲爆！	500ml
飞天茅台 53度 500ml	￥1159.00	http://item.jd.com/854013.html	page=1	已有6045人评价	【自营】1瓶999、2瓶起919/瓶茅台中秋专场	500ml
五粮液水晶装52度500ml	￥659.00	http://item.jd.com/853283.html	page=1	已有10745人评价	609元-铜牌价！五粮液畅销核心单品！京东自营，喝的放心！迎中秋！五粮液特惠专场！	500ml
洋河蓝色经典天之蓝 52度 整箱装 480ml*6瓶	￥1859.00	http://item.jd.com/819973.html	page=1	已有1598人评价	绵柔精品，酒中贵族！整箱购买更省心！【京东自营】洋河专场点这！酒类超值专场请点击	480ml
牛栏山 陈酿白酒42度 整箱装 500ml*12瓶	￥129.60	http://item.jd.com/1018276.html	page=1	已有5039人评价	【京东自营，喝的放心】牛栏山专场！更多活动请点击！	500ml
洋河蓝色经典海之蓝 52度 整箱装 480ml*6瓶	￥799.00	http://item.jd.com/819972.html	page=1	已有4062人评价	中秋降到底，整箱超值购！你没见过的价格！【京东自营！喝的放心】进入劲爆活动	480ml
洋河蓝色经典海之蓝 42度 整箱装 480ml*6瓶	￥759.00	http://item.jd.com/251321.html	page=1	已有5918人评价	中秋直降！绵柔精品！整箱低价购！【京东自营，喝的放心！】点此进入劲爆活动	480ml
